Student B Actuator Log - 20250528_173722
Time	Filtered	Action	Latency(ms)
1748425046713.000	69.06	-66.31	0.03
1748425046729.000	64.45	-61.60	0.04
1748425046745.000	60.97	-58.34	0.03
1748425046760.000	64.07	-62.24	0.02
1748425046776.000	62.26	-60.06	0.03
1748425046792.000	57.35	-54.92	0.02
1748425046808.000	58.75	-57.03	0.04
1748425046824.000	61.52	-60.06	0.03
1748425046840.000	50.74	-47.92	0.03
1748425046855.000	47.82	-45.77	0.03
1748425046871.000	42.77	-40.44	0.02
1748425046887.000	43.91	-42.14	0.04
1748425046903.000	49.50	-48.17	0.02
1748425046918.000	60.75	-60.09	0.03
1748425046934.000	63.08	-61.66	0.03
1748425046950.000	69.36	-68.53	0.03
1748425046965.000	75.19	-74.56	0.03
1748425046981.000	70.44	-68.96	0.03
1748425046997.000	65.11	-63.72	0.04
1748425047001.000	62.72	-61.75	0.03
1748425047007.000	61.71	-61.01	0.03
1748425047014.000	53.92	-52.57	0.04
1748425047030.000	59.54	-59.63	0.03
1748425047046.000	61.55	-61.39	0.02
1748425047063.000	71.24	-72.06	0.03
1748425047079.000	64.49	-63.81	0.02
1748425047094.000	70.61	-71.43	0.03
1748425047110.000	64.50	-64.24	0.03
1748425047126.000	68.10	-69.00	0.02
1748425047142.000	68.57	-69.34	0.04
1748425047158.000	78.73	-80.75	0.02
1748425047175.000	72.38	-72.98	0.03
1748425047192.000	72.64	-74.12	0.03
1748425047211.000	72.39	-74.05	0.02
1748425047222.000	64.82	-65.89	0.02
1748425047238.000	67.77	-70.07	0.03
1748425047254.000	79.41	-82.87	0.02
1748425047270.000	74.26	-76.29	0.02
1748425047285.000	72.54	-75.13	0.04
1748425047301.000	77.45	-80.98	0.04
1748425047318.000	75.85	-78.99	0.04
1748425047333.000	74.01	-77.37	0.02
1748425047349.000	85.20	-90.21	0.04
1748425047365.000	84.05	-88.17	0.03
1748425047380.000	84.31	-88.91	0.02
1748425047396.000	76.51	-80.57	0.03
1748425047412.000	78.37	-83.68	0.03
1748425047428.000	79.15	-84.65	0.03
1748425047444.000	84.71	-91.02	0.03
1748425047460.000	82.83	-88.74	0.02
1748425047476.000	85.33	-92.02	0.02
1748425047491.000	87.13	-94.13	0.03
1748425047507.000	78.73	-84.99	0.03
1748425047513.000	78.05	-85.37	0.04
1748425047529.000	72.72	-79.79	0.02
1748425047544.000	78.93	-87.45	0.02
1748425047559.000	70.47	-77.73	0.02
1748425047575.000	77.08	-86.11	0.02
1748425047591.000	65.43	-72.79	0.02
1748425047607.000	68.98	-78.05	0.03
1748425047623.000	68.36	-77.20	0.03
1748425047639.000	67.33	-76.30	0.03
1748425047654.000	67.93	-77.24	0.03
1748425047670.000	71.51	-81.34	0.03
1748425047686.000	65.90	-74.97	0.03
1748425047702.000	67.47	-77.43	0.04
1748425047708.000	76.14	-87.07	0.03
1748425047719.000	69.62	-79.22	0.04
1748425047735.000	77.26	-88.56	0.03
1748425047750.000	80.24	-91.37	0.02
1748425047766.000	69.75	-79.74	0.03
1748425047782.000	61.28	-71.58	0.02
1748425047798.000	57.69	-68.56	0.02
1748425047814.000	58.60	-70.00	0.03
1748425047830.000	53.59	-64.44	0.02
1748425047845.000	51.30	-62.43	0.03
1748425047861.000	50.63	-61.93	0.03
1748425047877.000	53.54	-65.23	0.02
1748425047893.000	51.57	-62.79	0.03
1748425047909.000	54.76	-66.54	0.02
1748425047925.000	54.58	-66.07	0.02
1748425047941.000	56.51	-68.28	0.02
1748425047956.000	58.32	-70.16	0.02
1748425047972.000	55.74	-67.20	0.02
1748425047989.000	65.65	-78.51	0.02
1748425048004.000	65.90	-77.95	0.02
1748425048020.000	61.32	-73.00	0.02
1748425048036.000	67.21	-80.12	0.03
1748425048052.000	58.21	-69.71	0.02
1748425048068.000	58.18	-70.66	0.03
1748425048083.000	70.91	-84.87	0.02
1748425048099.000	71.92	-84.93	0.03
1748425048115.000	71.22	-84.27	0.02
1748425048131.000	72.38	-85.84	0.03
1748425048147.000	68.59	-81.74	0.03
1748425048162.000	64.22	-77.46	0.02
1748425048178.000	66.27	-80.32	0.03
1748425048193.000	67.23	-81.34	0.02
1748425048209.000	70.10	-84.59	0.06
1748425048224.000	66.99	-81.06	0.02
1748425048240.000	59.65	-73.39	0.03
1748425048246.000	57.50	-71.84	0.03
1748425048262.000	53.94	-68.17	0.02
1748425048278.000	63.23	-78.88	0.02
1748425048293.000	62.95	-77.77	0.03
1748425048309.000	65.42	-80.67	0.02
1748425048325.000	71.59	-87.43	0.02
1748425048341.000	68.25	-83.32	0.02
1748425048357.000	62.61	-77.58	0.03
1748425048373.000	61.73	-77.29	0.02
1748425048389.000	59.43	-74.94	0.02
1748425048405.000	64.69	-81.10	0.02
1748425048421.000	58.68	-74.05	0.03
1748425048437.000	57.75	-73.71	0.02
1748425048453.000	55.05	-70.88	0.03
1748425048468.000	60.81	-77.60	0.03
1748425048484.000	52.02	-67.38	0.02
1748425048499.000	63.47	-80.98	0.02
1748425048516.000	69.53	-86.70	0.03
1748425048530.000	71.99	-89.02	0.02
1748425048545.000	75.62	-93.02	0.03
1748425048555.000	70.98	-87.76	0.03
1748425048562.000	71.84	-89.40	0.03
1748425048578.000	60.04	-76.42	0.03
1748425048594.000	67.38	-85.85	0.02
1748425048609.000	58.46	-75.39	0.03
1748425048625.000	63.14	-81.57	0.03
1748425048641.000	52.26	-69.15	0.02
1748425048657.000	53.39	-71.52	0.02
1748425048673.000	41.44	-58.18	0.02
1748425048689.000	45.63	-63.94	0.02
